COD_ASSUNTO;JUST_ES_1GRAU;JUST_ES_2GRAU;JUST_ES_JUIZADO_ES;JUST_ES_TURMAS;JUST_ES_1GRAU_MIL;JUST_ES_2GRAU_MIL;JUST_ES_JUIZADO_ES_FP;JUST_TU_ES_UN;JUST_FED_1GRAU;JUST_FED_2GRAU;JUST_FED_JUIZADO_ES;JUST_FED_TURMAS;JUST_FED_NACIONAL;JUST_FED_REGIONAL;JUST_TRAB_1GRAU;JUST_TRAB_2GRAU;JUST_TRAB_TST;JUST_TRAB_CSJT;STF;STJ;CJF;CNJ;JUST_MIL_UNIAO_1GRAU;JUST_MIL_UNIAO_STM;JUST_MIL_EST_1GRAU;JUST_MIL_EST_TJM;JUST_ELEI_1GRAU;JUST_ELEI_2GRAU;JUST_ELEI_TSE
10615;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10616;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10617;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10618;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10619;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10620;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10621;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10622;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10623;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10624;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10625;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10626;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10627;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10628;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10630;N;S;N;S;N;N;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10631;N;S;S;S;N;S;N;N;N;S;N;S;N;N;N;N;N;N;S;S;N;N;N;S;N;S;N;N;N
10632;N;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10633;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10634;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10635;S;S;N;N;N;S;N;N;S;S;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;S;N;N;N
10636;N;S;N;N;N;S;N;N;N;S;N;N;N;N;N;N;N;N;S;S;N;N;N;S;N;S;N;N;N
10637;S;S;N;N;N;S;N;N;S;S;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;S;N;N;N
10638;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10640;N;S;N;S;N;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;N;S;N;S;N;N;N
10641;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N
10642;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10643;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10644;N;S;S;S;S;S;N;N;N;S;N;S;S;S;N;N;N;N;S;S;N;N;S;S;S;S;S;S;S
10645;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;S;S;S
10646;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;S;S;S
10647;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;S;S;S
10651;N;S;S;S;N;N;S;S;N;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10652;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;S;N;S;N;N;N;N;N;N;N;N;N;N
10653;N;N;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10654;S;S;S;S;N;N;S;S;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10655;S;S;S;S;S;S;S;S;S;S;S;S;N;S;S;S;S;N;S;S;N;N;S;S;S;S;N;N;N
10656;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;N;S;S;N;N;N;N;S;S;N;N;N
10657;S;N;N;N;N;N;N;N;S;S;S;N;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10658;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;N;S;S;N;N;N;N;S;S;N;N;N
10659;S;S;S;S;S;S;S;S;N;S;S;S;S;S;S;S;S;N;S;S;N;S;S;S;S;S;S;S;S
10660;S;S;S;S;N;S;S;S;S;S;S;S;S;S;S;S;S;N;S;S;N;S;S;S;S;S;S;S;S
10661;N;N;N;N;N;N;N;N;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N
10662;S;S;N;N;N;N;S;S;S;S;S;S;S;S;N;N;N;N;S;S;N;N;N;N;N;N;S;S;S
10666;S;S;S;S;S;S;S;S;S;S;N;S;S;S;S;S;S;N;S;S;N;N;S;S;S;S;S;S;S
