12298;MOV_193_SENTENCA;Cancelamento de Dívida Ativa
454;MOV_193_SENTENCA;Indeferimento da petição inicial
12325;MOV_193_SENTENCA;Perda do objeto
464;MOV_193_SENTENCA;Ação intransmissível
457;MOV_193_SENTENCA;Paralisação por negligência das partes
11376;MOV_193_SENTENCA;Ausência do autor à audiência
462;MOV_193_SENTENCA;Convenção de arbitragem
465;MOV_193_SENTENCA;Confusão entre autor e réu
12256;MOV_193_SENTENCA;Continência
11374;MOV_193_SENTENCA;Devedor não encontrado
11375;MOV_193_SENTENCA;Inexistência de bens penhoráveis
11377;MOV_193_SENTENCA;Inadmissibilidade do procedimento sumaríssimo
11378;MOV_193_SENTENCA;Incompetência territorial
11380;MOV_193_SENTENCA;Autor falecido e sem habilitação de sucessores
11381;MOV_193_SENTENCA;Ausência de citação de sucessores do réu falecido
11379;MOV_193_SENTENCA;Incompetência em razão da pessoa
26;MOV_026_DISTRIB;Distribuição
848;MOV_848_JULGADO;Trânsito em Julgado
22;MOV_022_BAIXA;Baixa Definitiva
246;MOV_246_ARQUIVA;Arquivamento Definitivo
861;MOV_246_ARQUIVA;Arquivamento
